,doc.id,title,citeulike.id,raw.title,raw.abstract
139,140,toward an understanding of the motivation of open source software developers,1109.0,Toward an Understanding of the Motivation of Open Source Software Developers,"An Open Source Software (OSS) project is unlikely to  be successful unless there is an accompanied community  that provides the platform for developers and users to  collaborate. Members of such communities are volunteers  whose motivation to participate and contribute is of  essential importance to the success of OSS projects. In  this paper, we aim to create an understanding of what  motivates people to participate in OSS communities. We  theorize that learning is one of the motivational forces.  Our theory is grounded in the learning theory of  Legitimate Peripheral Participation, and is supported by  analyzing the social structure of OSS communities and the  co-evolution between OSS systems and communities. We  also discuss practical implications of our theory for  creating and maintaining sustainable OSS communities as  well as for software engineering research and education."
140,141,bibliometrics and beyond some thoughts on webbased citation analysis,1113.0,Bibliometrics and beyond: some thoughts on web-based citation analysis,"The idea of a unified citation index to the literature of science was first outlined by Eugene Garfield [1] in 1955 in the journal Science. Science  Citation Index has since established itself as the gold standard for scientific information retrieval. It has also become the database of choice for citation analysts and evaluative bibliometricians worldwide. As scientific publication moves to the web, and novel approaches to scholarly communication  and peer review establish themselves, new methods of citation and link analysis will emerge to capture often liminal expressions of peer esteem, influence and approbation. The web thus affords bibliometricians rich opportunities to apply   and adapt their techniques to new contexts and content: the age of  bibliometric spectroscopy' [2] is dawning. 10.1177/016555150102700101"
141,142,adding semantics to web services standards,1125.0,Adding semantics to web services standards,"With the increasing growth in popularity of Web services, discovery of relevant Web services becomes a significant challenge. One approach is to develop semantic Web services where by the Web services are annotated based on shared ontologies, and use these annotations for semantics-based discovery of relevant Web services. We discuss one such approach that involves adding semantics to WSDL using DAML+OIL ontologies. Our approach also uses UDDI to store these semantic annotations and search for..."
142,143,analysis of a very large web search engine query log,1126.0,Analysis of a very large web search engine query log,"In this paper we present an analysis of an AltaVista Search Engine query log consisting of approximately 1 billion entries for search requests over a period of six weeks. This represents almost 285 million user sessions, each an attempt to fill a single information need. We present an analysis of individual queries, query duplication, and query sessions. We also present results of a correlation analysis of the log entries, studying the interaction of terms within queries. Our data supports the conjecture that web users differ significantly from the user assumed in the standard information retrieval literature. Specifically, we show that web users type in short queries, mostly look at the first 10 results only, and seldom modify the query. This suggests that traditional information retrieval techniques may not work well for answering web search requests. The correlation analysis showed that the most highly correlated items are constituents of phrases. This result indicates it may be useful for search engines to consider search terms as parts of phrases even if the user did not explicitly specify them as such."
143,144,relevant term suggestion in interactive web search based on contextual information in query session logs,1130.0,Relevant term suggestion in interactive web search based on contextual information in query session logs,"Abstract 10.1002/asi.10256.abs This paper proposes an effective term suggestion approach to interactive Web search. Conventional approaches to making term suggestions involve extracting co-occurring keyterms from highly ranked retrieved documents. Such approaches must deal with term extraction difficulties and interference from irrelevant documents, and, more importantly, have difficulty extracting terms that are conceptually related but do not frequently co-occur in documents. In this paper, we present a new, effective log-based approach to relevant term extraction and term suggestion. Using this approach, the relevant terms suggested for a user query are those that co-occur in similar query sessions from search engine logs, rather than in the retrieved documents. In addition, the suggested terms in each interactive search step can be organized according to its relevance to the entire query session, rather than to the most recent single query as in conventional approaches. The proposed approach was tested using a proxy server log containing about two million query transactions submitted to search engines in Taiwan. The obtained experimental results show that the proposed approach can provide organized and highly relevant terms, and can exploit the contextual information in a user's query session to make more effective suggestions."
144,145,agglomerative clustering of a search engine query log,1132.0,Agglomerative clustering of a search engine query log,"This paper introduces a technique for mining a collection of user transactions with an Internet search engine to discover clusters of similar queries and similar URLs. The information we exploit is clickthrough data: each record consists of a user's query to a search engine along with the URL which the user selected from among the candidates offered by the search engine. By viewing this dataset as a bipartite graph, with the vertices on one side corresponding to queries and on the other side..."
145,146,regionbased memory management,1134.0,Region-Based Memory Management,"This paper describes a memory management discipline for programs that perform dynamic memory allocation and de-allocation. At runtime, all values are put into regions. The store consists of a stack of regions. All points of region allocation and deallocation are inferred automatically, using a type and effect based program analysis. The scheme does not assume the presence of a garbage collector. The scheme was first presented by Tofte and Talpin (1994); subsequently, it has been tested in The ML Kit with Regions, a region-based, garbage-collection free implementation of the Standard ML Core language, which includes recursive datatypes, higher-order functions and updatable references (Birkedal et al. 96, Elsman and Hallenberg 95). This paper defines a region-based dynamic semantics for a skeletal programming language extracted from Standard ML. We present the inference system which specifies where regions can be allocated and de-allocated and a detailed proof that the system is sound wi..."
146,147,language support for regions,1136.0,Language Support for Regions,"Region-based memory management systems structure memory by grouping objects in regions under program control. Memory is reclaimed by deleting regions, freeing all objects stored therein. Our compiler for C with regions, RC, prevents unsafe region deletions by keeping a count of references to each region. Using type annotations that make the structure of a program's regions more explicit, we reduce the overhead of reference counting from a maximum of 27\% to a maximum of 11\% on a suite of realistic benchmarks. We generalise these annotations in a region type system whose main novelty is the use of existentially quantified abstract regions to represent pointers to objects whose region is partially or totally unknown. A distribution of RC is available at http://www.cs.berkeley.edu/~dgay/rc.tar.gz."
148,149,expertise recommender a flexible recommendation system and architecture,1159.0,Expertise recommender: a flexible recommendation system and architecture,"Locating the expertise necessary to solve difficult problems is a nuanced social and collaborative problem. In organizations, some people assist others in locating expertise by making referrals. People who make referrals fill key organizational roles that have been identified by CSCW and affiliated research. Expertise locating systems are not designed to replace people who fill these key organizational roles. Instead, expertise locating systems attempt to decrease workload and support people who have no other options. Recommendation systems are collaborative software that can be applied to expertise locating. This work describes a general recommendation architecture that is grounded in a field study of expertise locating. Our expertise recommendation system details the work necessary to fit expertise recommendation to a work setting. The architecture and implementation begin to tease apart the technical aspects of providing good recommendations from social and collaborative concerns."
149,150,fotofile a consumer multimedia organization and retrieval system,1161.0,FotoFile: a consumer multimedia organization and retrieval system,"FotoFile blends automatic and human annotation methods. Users express frustration re: organizing and retrieving digital images. Conducted focus groups to gain insight into the percieved tradeoffs between: manual vs. automated annotattion and direct search vs. browsing. Different focus groups were held for business and home participants. Keyword based search easiest to grasp, but time requuirements seen as daunting. Automated indexing (content based) desired, but home users thought they'd do keywords more, browsing more desired by home users than business. The primary orgaizational metaphor is an album, and useres can specify the representative image to aid in recognition. Batch annotation is supported, annotation and search use the same basic mechanism. Storytelling is discussed as a means of facilitating annotation--allows for small grouping of photos, part of a story--called scraplets, to be named and annotated. Using the same photos in mutliple scraplets links them implicitly--links are shown during album playback to remind of multiple possible story lines. Face recognition is implemented and black rectangles are placed on thumbnails to indicate recognized faces--users are prompted to confirm person's identity, all images auto annoted w/ the person's name. Metadata is visualized using the hyperbolic tree. Good discussion of the difficulties in designing meaningful studies in this area."
150,151,composable and compilable macros you want it when,1164.0,Composable and compilable macros:: you want it when?,"Many macro systems, especially for Lisp and Scheme, allow macro transformers to perform general computation. Moreover, the language for implementing compile-time macro transformers is usually the same as the language for implementing run-time functions. As a side effect of this sharing, implementations tend to allow the mingling of compile-time values and run-time values, as well as values from separate compilations. Such mingling breaks programming tools that must parse code without executing it. Macro implementors avoid harmful mingling by obeying certain macro-definition protocols and by inserting phase-distinguishing annotations into the code. However, the annotations are fragile, the protocols are not enforced, and programmers can only reason about the result in terms of the compiler's implementation. MzScheme---the language of the PLT Scheme tool suite---addresses the problem through a macro system that separates compilation without sacrificing the expressiveness of macros."
152,153,a deoxyribozymebased molecular automaton,1181.0,A deoxyribozyme-based molecular automaton,"We describe a molecular automaton, called MAYA, which encodes a version of the game of tic-tac-toe and interactively competes against a human opponent. The automaton is a Boolean network of deoxyribozymes that incorporates 23 molecular-scale logic gates and one constitutively active deoxyribozyme arrayed in nine wells (3x3) corresponding to the game board. To make a move, MAYA carries out an analysis of the input oligonucleotide keyed to a particular move by the human opponent and indicates a move by fluorescence signaling in a response well. The cycle of human player input and automaton response continues until there is a draw or a victory for the automaton. The automaton cannot be defeated because it implements a perfect strategy."
153,154,refactoring objectoriented frameworks,1189.0,Refactoring object-oriented frameworks,"This thesis denes a set of program restructuring operations (refactorings) that support the design, evolution and reuse of object-oriented application frameworks. The focus of the thesis is on automating the refactorings in a way that preserves the behavior of a program. The refactorings are dened to be behavior preserving, provided that their preconditions are met. Most of the refactorings are simple to implement and it is almost trivial to show that they are behavior preserving. However, for a few refactorings, one or more of their preconditions are in general undecidable. Fortunately, for some cases it can be determined whether these refactorings can be applied safely. Three of the most complex refactorings are dened in detail: generalizing the inheritance hierarchy, specializing the inheritance hierarchy and using aggregations to model the relationships among classes. These operations are decomposed into more primitive parts, and the power of these operations is discussed from the perspectives of automatability and usefulness in supporting design. Two design constraints needed in refactoring are class invariants and exclusive components. These constraints are needed to ensure that behavior is preserved across some refactorings. This thesis gives some conservative algorithms for determining whether a program satises these constraints, and describes how to use this design information to refactor a program."
157,158,five reasons for scenariobased design,1265.0,Five reasons for scenario-based design,"Scenarios of human-computer interaction help us to understand and to create computer systems and applications as artifacts of human activity&#209; as things to learn from, as tools to use in one's work, as media for interacting with other people. Scenario-based design of information technology addresses five technical challenges: Scenarios evoke reflection in the content of design work, helping developers coordinate design action and reflection. Scenarios are at once concrete and flexible, helping developers manage the fluidy of design situations. Scenarios afford multiple views of an interaction, diverse kinds and amounts of detailing, helping developers manage the many consequences entailed by any given design move. Scenarios can also be abstracted and categorized, helping designers to recognize, capture, and reuse generalizations, and to address the challenge that technical knowledge often lags the needs of technical design. Finally, scenarios promote work-oriented communication among stakeholders, helping to make design activities more accessible to the great variety of expertise that can contribute to design, and addressing the challenge that external constraints designers and clients often distract attention from the needs and concerns of the people who will use the technology."
158,159,citeseerapi towards seamless resource location and interlinking for digital libraries,1266.0,CiteSeer-API: towards seamless resource location and interlinking for digital libraries,"We introduce CiteSeer-API, a public API to CiteSeer-like services. CiteSeer-API is SOAP/WSDL based and allows for easy programmatical access to all the specific functionalities offered by CiteSeer services, including full text search of documents and citations and citation-based document discovery. In order to enable operability and interlinking with arbitrary software agents and digital library systems, CiteSeer-API uses digital content signatures to create system-independent handles for the..."
159,160,modeling network dynamics the lac operon a case study,1268.0,"Modeling network dynamics: the lac operon, a case study","We use the lac operon in Escherichia coli as a prototype system to illustrate the current state, applicability, and limitations of modeling the dynamics of cellular networks. We integrate three different levels of description (molecular, cellular, and that of cell population) into a single model, which seems to capture many experimental aspects of the system. [Journal Article, Review, Review, Tutorial; 26 Refs; In English; United States]"
161,162,robust perfect adaptation in bacterial chemotaxis through integral feedback control,1277.0,Robust perfect adaptation in bacterial chemotaxis through integral feedback control,"Integral feedback control is a basic engineering strategy for ensuring that the output of a system robustly tracks its desired value independent of noise or variations in system parameters. In biological systems, it is common for the response to an extracellular stimulus to return to its prestimulus value even in the continued presence of the signal—a process termed adaptation or desensitization. Barkai, Alon, Surette, and Leibler have provided both theoretical and experimental evidence that the precision of adaptation in bacterial chemotaxis is robust to dramatic changes in the levels and kinetic rate constants of the constituent proteins in this signaling network [Alon, U., Surette, M. G., Barkai, N. & Leibler, S. (1998) Nature (London) 397, 168–171]. Here we propose that the robustness of perfect adaptation is the result of this system possessing the property of integral feedback control. Using techniques from control and dynamical systems theory, we demonstrate that integral control is structurally inherent in the Barkai–Leibler model and identify and characterize the key assumptions of the model. Most importantly, we argue that integral control in some form is necessary for a robust implementation of perfect adaptation. More generally, integral control may underlie the robustness of many homeostatic mechanisms."
169,170,robustness in simple biochemical networks,1303.0,Robustness in simple biochemical networks.,"Cells use complex networks of interacting molecular components to transfer and process information. These ""computational devices of living cells""1 are responsible for many important cellular processes, including cell-cycle regulation and signal transduction. Here we address the issue of the sensitivity of the networks to variations in their biochemical parameters. We propose a mechanism for robust adaptation in simple signal transduction networks. We show that this mechanism applies in particular to bacterial chemotaxis2, 3, 4, 5, 6, 7. This is demonstrated within a quantitative model which explains, in a unified way, many aspects of chemotaxis, including proper responses to chemical gradients8, 9, 10, 11, 12. The adaptation property10, 13, 14, 15, 16 is a consequence of the network's connectivity and does not require the 'fine-tuning' of parameters. We argue that the key properties of biochemical networks should be robust in order to ensure their proper functioning."
170,171,association of genes to genetically inherited diseases using data mining,1309.0,Association of genes to genetically inherited diseases using data mining,"Although approximately one-quarter of the roughly 4,000 genetically inherited diseases currently recorded in respective databases (LocusLink1, OMIM2) are already linked to a region of the human genome, about 450 have no known associated gene. Finding disease-related genes requires laborious examination of hundreds of possible candidate genes (sometimes, these are not even annotated; see, for example, refs 3,4). The public availability of the human genome5 draft sequence has fostered new strategies to map molecular functional features of gene products to complex phenotypic descriptions, such as those of genetically inherited diseases. Owing to recent progress in the systematic annotation of genes using controlled vocabularies6, we have developed a scoring system for the possible functional relationships of human genes to 455 genetically inherited diseases that have been mapped to chromosomal regions without assignment of a particular gene. In a benchmark of the system with 100 known disease-associated genes, the disease-associated gene was among the 8 best-scoring genes with a 25% chance, and among the best 30 genes with a 50% chance, showing that there is a relationship between the score of a gene and its likelihood of being associated with a particular disease. The scoring also indicates that for some diseases, the chance of identifying the underlying gene is higher."
172,173,template metaprogramming for haskell,1342.0,Template meta-programming for Haskell,"We propose a new extension to the purely functional programming language Haskell that supports  compile-time meta-programming.  The purpose of the system is to support the  algorithmic  construction of programs at compile-time.The ability to generate code at compile time allows the programmer to implement such features as polytypic programs, macro-like expansion, user directed optimization (such as inlining), and the generation of supporting data structures and functions from existing data structures and functions.Our design is being implemented in the Glasgow Haskell Compiler, ghc."
174,175,proper tail recursion and space efficiency,1350.0,Proper tail recursion and space efficiency,"The IEEE/ANSI standard for Scheme requires implementations to be properly tail recursive. This ensures that portable code can rely upon the space efficiency of continuation-passing style and other idioms. On its face, proper tail recursion concerns the efficiency of procedure calls that occur within a tail context. When examined closely, proper tail recursion also depends upon the fact that garbage collection can be asymptotically more space-efficient than Algol-like stack allocation. Proper..."
175,176,control flow analysis in scheme,1354.0,Control flow analysis in scheme,"Traditional flow analysis techniques, such as the ones typically employed by optimizing Fortran compilers, do not work for Scheme-like languages. This paper presents a flow analysis technique &mdash;  control flow analysis  &mdash; which is applicable to Scheme-like languages. As a demonstration application, the information gathered by control flow analysis is used to perform a traditional flow analysis problem, induction variable elimination. Extensions and limitations are discussed.   The techniques presented in this paper are backed up by working code. They are applicable not only to Scheme, but also to related languages, such as Common Lisp and ML."
177,178,contracts for higherorder functions,1362.0,Contracts for higher-order functions,"Assertions play an important role in the construction of robust software. Their use in programming languages dates back to the 1970s. Eiffel, an object-oriented programming language, wholeheartedly adopted assertions and developed the ""Design by Contract"" philosophy. Indeed, the entire object-oriented community recognizes the value of assertion-based contracts on methods.In contrast, languages with higher-order functions do not support assertion-based contracts. Because predicates on functions are, in general, undecidable, specifying such predicates appears to be meaningless. Instead, the functional languages community developed type systems that statically approximate interesting predicates.In this paper, we show how to support higher-order function contracts in a theoretically well-founded and practically viable manner. Specifically, we introduce &#955; con , a typed lambda calculus with assertions for higher-order functions. The calculus models the assertion monitoring system that we employ in DrScheme. We establish basic properties of the model (type soundness, etc.) and illustrate the usefulness of contract checking with examples from DrScheme's code base.We believe that the development of an assertion system for higher-order functions serves two purposes. On one hand, the system has strong practical potential because existing type systems simply cannot express many assertions that programmers would like to state. On the other hand, an inspection of a large base of invariants may provide inspiration for the direction of practical future type system research."
178,179,units cool modules for hot languages,1379.0,Units: cool modules for HOT languages,"A module system ought to enable  assembly-line programming  using separate compilation and an expressive linking language. Separate compilation allows programmers to develop parts of a program independently. A linking language gives programmers precise control over the assembly of parts into a whole. This paper presents models of  program units , MzScheme's module language for assembly-line programming. Units support separate compilation, independent module reuse, cyclic dependencies, hierarchical structuring, and dynamic linking. The models explain how to integrate units with untyped and typed languages such as Scheme and ML."
179,180,a callbyneed lambda calculus,1380.0,A call-by-need lambda calculus,"The mismatch between the operational semantics of the lambda calculus and the actual behavior of implementations is a major obstacle for compiler writers. They cannot explain the behavior of their evaluator in terms of source level syntax, and they cannot easily compare distinct implementations of different lazy strategies. In this paper we derive an equational characterization of call-by-need and prove it correct with respect to the original lambda calculus. The theory is a strictly smaller theory than the lambda calculus. Immediate applications of the theory concern the correctness proofs of a number of implementation strategies,  e.g. , the call-by-need continuation passing transformation and the realization of sharing via assignments."
180,181,on the expressive power of programming languages,1381.0,On the expressive power of programming languages,"The literature on programming languages contains an abundance of informal claims on the relative expressive power of programming languages, but there is no framework for formalizing such statements nor for deriving interesting consequences. As a first step in this direction, we develop a formal notion of expressiveness and investigate its properties. To validate the theory, we analyze some widely held beliefs about the expressive power of several extensions of functional languages. Based on these results, we believe that our system correctly captures many of the informal ideas on expressiveness, and that it constitutes a foundation for further research in this direction. 1 Comparing Programming Languages The literature on programming languages contains an abundance of informal claims on the expressive power of programming languages. Arguments in these contexts typically assert the expressibility or non-expressibility of programming constructs relative to a language. Unfortunately, pro..."
181,182,catching bugs in the web of program invariants,1382.0,Catching bugs in the web of program invariants,"MrSpidey is a user-friendly, interactive static debugger for Scheme. A static debugger supplements the standard debugger by analyzing the program and pinpointing those program operations that may cause run-time errors such as dereferencing the null pointer or applying non-functions. The program analysis of MrSpidey computes value set descriptions for each term in the program and constructs a value flow graph connecting the set descriptions. Using the set descriptions, MrSpidey can identify and highlight potentially erroneous program operations, whose cause the programmer can then explore by selectively exposing portions of the value flow graph."
182,183,synthesizing objectoriented and functional design to promote reuse,1385.0,Synthesizing Object-Oriented and Functional Design to Promote Re-Use,"Many problems require recursively specified types of data and a collection of tools that operate on those data. Over time, these problems evolve so that the programmer must extend the toolkit or extend the types and adjust the existing tools accordingly. Ideally, this should be done without modifying existing code. Unfortunately, the prevailing program design strategies do not support both forms of extensibility: functional programming accommodates the addition of tools, while object-oriented programming supports either adding new tools or extending the data set, but not both. In this paper, we present a composite design pattern that synthesizes the best of both approaches and in the process resolves the tension between the two design strategies. We also show how this protocol suggests a new set of linguistic facilities for languages that support class systems."
183,184,modular objectoriented programming with units and mixins,1393.0,Modular object-oriented programming with units and mixins,"Module and class systems have evolved to meet the demand for reuseable software components. Considerable effort has been invested in developing new module and class systems, and in demonstrating how each promotes code reuse. However, relatively little has been said about the interaction of these constructs, and how using modules and classes together  can improve programs. In this paper, we demonstrate the synergy of a particular form of modules and classes---called units and mixins,..."
184,185,how to design programs an introduction to programming and computing,1396.0,How to design programs: an introduction to programming and computing,"{This introduction to programming places computer science in the core of a liberal arts education. Unlike other introductory books, it focuses on the program design process. This approach fosters a variety of skills--critical reading, analytical thinking, creative synthesis, and attention to detail--that are important for everyone, not just future computer programmers.<br /> <br /> The book exposes readers to two fundamentally new ideas. First, it presents program design guidelines that show the reader how to analyze a problem statement; how to formulate concise goals; how to make up examples; how to develop an outline of the solution, based on the analysis; how to finish the program; and how to test. Each step produces a well-defined intermediate product. Second, the book comes with a novel programming environment, the first one explicitly designed for beginners. The environment grows with the readers as they master the material in the book until it supports a full-fledged language for the whole spectrum of programming tasks.<br /> <br /> All the book's support materials are available for free on the Web. The Web site includes the environment, teacher guides, exercises for all levels, solutions, and additional projects.}"
185,186,macros as multistage computations typesafe generative binding macros in macroml,1403.0,"Macros as multi-stage computations: type-safe, generative, binding macros in MacroML","With few exceptions, macros have traditionally been viewed as operations on syntax trees or even on plain strings. This view makes macros seem ad hoc, and is at odds with two desirable features of contemporary typed functional languages: static typing and static scoping. At a deeper level, there is a need for a simple, usable semantics for macros. This paper argues that these problems can be addressed by formally viewing macros as multi-stage computations. This view eliminates the need for freshness conditions and tests on variable names, and provides a compositional interpretation that can serve as a basis for designing a sound type system for languages supporting macros, or even for compilation. To illustrate our approach, we develop and present MacroML, an extension of ML that supports inlining, recursive macros, and the definition of new binding constructs. The latter is subtle, and is the most novel addition in a statically typed setting. The semantics of a core subset of MacroML is given by an interpretation into MetaML, a statically-typed multi-stage programming language. It is then easy to show that MacroML is stage- and type-safe: macro expansion does not depend on runtime evaluation, and both stages do not ""go wrong."
187,188,metabolic pathways in the postgenome era,1414.0,Metabolic pathways in the post-genome era.,"Metabolic pathways are a central paradigm in biology. Historically, they have been defined on the basis of their step-by-step discovery. However, the genome-scale metabolic networks now being reconstructed from annotation of genome sequences demand new network-based definitions of pathways to facilitate analysis of their capabilities and functions, such as metabolic versatility and robustness, and optimal growth rates. This demand has led to the development of a new mathematically based analysis of complex, metabolic networks that enumerates all their unique pathways that take into account all requirements for cofactors and byproducts. Applications include the design of engineered biological systems, the generation of testable hypotheses regarding network structure and function, and the elucidation of properties that can not be described by simple descriptions of individual components (such as product yield, network robustness, correlated reactions and predictions of minimal media). Recently, these properties have also been studied in genome-scale networks. Thus, network-based pathways are emerging as an important paradigm for analysis of biological systems."
188,189,a hybrid approach for searching in the semantic web,1417.0,A hybrid approach for searching in the semantic web,"This paper presents a search architecture that combines classical search techniques with spread activation techniques applied to a semantic model of a given domain. Given an ontology, weights are assigned to links based on certain properties of the ontology, so that they measure the strength of the relation. Spread activation techniques are used to find related concepts in the ontology given an initial set of concepts and corresponding initial activation values. These initial values are obtained from the results of classical search applied to the data associated with the concepts in the ontology. Two test cases were implemented, with very positive results. It was also observed that the proposed hybrid spread activation, combining the symbolic and the sub-symbolic approaches, achieved better results when compared to each of the approaches alone."
189,190,adaptive web search based on user profile constructed without any effort from users,1418.0,Adaptive web search based on user profile constructed without any effort from users,"Web search engines help users find useful information on the World Wide Web (WWW). However, when the same query is submitted by different users, typical search engines return the same result regardless of who submitted the query. Generally, each user has different information needs for his/her query. Therefore, the search result should be adapted to users with different information needs. In this paper, we first propose several approaches to adapting search results according to each user's need for relevant information without any user effort, and then verify the effectiveness of our proposed approaches. Experimental results show that search systems that adapt to each user's preferences can be achieved by constructing user profiles based on modified collaborative filtering with detailed analysis of user's browsing history in one day."
191,192,ngrambased text categorization,1430.0,N-Gram-Based Text Categorization,"Text categorization is a fundamental task in document processing, allowing the automated handling of enormous streams of documents in electronic form. One difficulty in handling some classes of documents is the presence of different kinds of textual errors, such as spelling and grammatical errors in email, and character recognition errors in documents that come through OCR. Text categorization must work reliably on all input, and thus must tolerate some level of these kinds of problems. We describe here an N-gram-based approach to text categorization that is tolerant of textual errors. The system is small, fast and robust. This system worked very well for language classification, achieving in one test a 99.8% correct classification rate on Usenet newsgroup articles written in different languages. The system also worked reasonably well for classifying articles from a number of different computer-oriented newsgroups according to subject, achieving as high as an 80% correct classification rate. There are also several obvious directions for improving the system's classification performance in those cases where it did not do as well. The system is based on calculating and comparing profiles of N-gram frequencies. First, we use the system to compute profiles on training set data that represent the various categories, e.g.,language samples or newsgroup content samples. Then the system computes a profile for a particular document that is to be classified. Finally, the system computes a distance measure between the document's profile and each of the category profiles. The system selects the category whose profile has the smallest distance to the document's profile. The profiles involved are quite small, typically 10K bytes for a category training set, and less than 4K bytes for an individual document. Using N-gram frequency profiles provides a simple and reliable way to categorize documents in a wide range of classification tasks."
192,193,blogging by the rest of us,1433.0,Blogging by the rest of us,"Weblogs (or blogs) are frequently updated webpages with posts typically in reverse-chronological order. Blogging is the latest form of online communication to gain widespread popularity and it is rapidly becoming mainstream. Media attention tends to focus on ""heavy-hitting"" blogs devoted to politics, punditry and technology, but it has recently become apparent that vast majority of blogs are written by ordinary people for much smaller audiences, and on largely personal themes. Surprisingly little is known about this ""blogging by the rest of us"", especially from the blogger's point of view. This paper presents the preliminary results of an ethnographic study of blogging as a form of personal expression and communication. We characterize a number of blogging practices, and then consider blogging as personal journaling. We find blogging to be a surprisingly versatile medium, with uses similar to an online diary, personal chronicle or newsletter, and much more. The next few years should provide a fascinating opportunity for research and design as blogging tools improve and blog usage evolves and flourishes."
194,195,assessing the effects of library instruction,1477.0,Assessing the Effects of Library Instruction,"The current study sought to measure the influence of a one-hour library training/orientation session on college students' library use and library skill development. Data analysis revealed a statistically significant increase in student library use while there was no statistically significant increase in library skill development. Some issues, however, limited the utility of the findings. This paper also critiques the study's design with the intention of helping future researchers plan for occurrences that may limit the accuracy of their findings."
195,196,using blackboard in library instruction addressing the learning styles of generations x and y,1478.0,Using Blackboard in Library Instruction: Addressing the Learning Styles of Generations X and Y,"Studies show that recent generations of college students have a learning style with identifiable characteristics. Library instruction efforts must adapt to these learning styles. Course management software (CMS), such as Blackboard, is one resource available to academic librarians to meet the challenges posed by the ``Net Generation.'' At Stetson University, the use of Blackboard courseware in library instruction sessions successfully addressed the unique learning styles of students."
196,197,texttiling segmenting text into multiparagraph subtopic passages,1541.0,TextTiling: segmenting text into multi-paragraph subtopic passages,"TextTiling is a technique for subdividing texts into multi-paragraph units that represent passages, or subtopics. The discourse cues for identifying major subtopic shifts are patterns of lexical co-occurrence and distribution. The algorithm is fully implemented and is shown to produce segmentation that corresponds well to human judgments of the subtopic boundaries of 12 texts. Multi-paragraph subtopic segmentation should be useful for many text analysis tasks, including information retrieval and summarization."
197,198,on defining library and information science as applied philosophy of information,1546.0,On Defining Library and Information Science as Applied Philosophy of Information,"This paper analyses the relations between philosophy of information (PI), library and information science (LIS) and social epistemology (SE). In the first section, it is argued that there is a natural relation between philosophy and LIS but that SE cannot provide a satisfactory foundation for LIS. SE should rather be seen as sharing with LIS a common ground, represented by the study of information, to be investigated by a new discipline, PI. In the second section, the nature of PI is outlined as the philosophical area that studies the conceptual nature of information, its dynamics and problems. In the third section, LIS is defined as a form of applied PI. The hypothesis supported is that PI should replace SE as the philosophical discipline that can best provide the conceptual foundation for LIS. In the conclusion, it is suggested that the &#039;identity&#039; crisis undergone by LIS has been the natural outcome of a justified but precocious search for a philosophical counterpart that has emerged only recently: namely, PI. The development of LIS should not rely on some borrowed, pre-packaged theory. As applied PI, LIS can fruitfully contribute to the growth of basic theoretical research in PI itself and thus provide its own foundation."
198,199,embodying information systems the contribution of phenomenology,1559.0,Embodying information systems: the contribution of phenomenology,"This paper presents a case for embodying information systems. That is, for recognizing the fundamental importance of the body in human cognition and social action, and exploring the consequences for information systems and artificial intelligence. Current work within philosophy, biology, cognitive science, and social theory demonstrates that the Cartesian dualism of mind and body is no longer tenable, and points to the embodied and enactive nature of thought and language. Three different approaches to cognition are identified and their underlying philosophies are exemplified by Husserl, Heidegger, and Merleau-Ponty respectively. Sections of the paper cover: a philosophical and biological framework for embodied cognition; the main arguments in favor of the approach; and the implications for information systems and artificial intelligence."
199,200,learning to cluster web search results,1597.0,Learning to cluster web search results,"Organizing Web search results into clusters facilitates users' quick browsing through search results. Traditional clustering techniques are inadequate since they don't generate clusters with highly readable names. In this paper, we reformalize the clustering problem as a salient phrase ranking problem. Given a query and the ranked list of documents (typically a list of titles and snippets) returned by a certain Web search engine, our method first extracts and ranks salient phrases as candidate cluster names, based on a regression model learned from human labeled training data. The documents are assigned to relevant salient phrases to form candidate clusters, and the final clusters are generated by merging these candidate clusters. Experimental results verify our method's feasibility and effectiveness."
200,201,a common open representation of mass spectrometry data and its application to proteomics research,1668.0,A common open representation of mass spectrometry data and its application to proteomics research,"A broad range of mass spectrometers are used in mass spectrometry (MS)-based proteomics research. Each type of instrument possesses a unique design, data system and performance specifications, resulting in strengths and weaknesses for different types of experiments. Unfortunately, the native binary data formats produced by each type of mass spectrometer also differ and are usually proprietary. The diverse, nontransparent nature of the data structure complicates the integration of new instruments into preexisting infrastructure, impedes the analysis, exchange, comparison and publication of results from different experiments and laboratories, and prevents the bioinformatics community from accessing data sets required for software development. Here, we introduce the 'mzXML' format, an open, generic XML (extensible markup language) representation of MS data. We have also developed an accompanying suite of supporting programs. We expect that this format will facilitate data management, interpretation and dissemination in proteomics research."
